,precision,recall,f1-score,support
42023,0.9333333333333333,0.98,0.9560975609756097,100.0
4216,0.9456521739130435,0.87,0.90625,100.0
4218,0.98989898989899,0.98,0.9849246231155778,100.0
42446,0.9428571428571428,0.99,0.9658536585365853,100.0
4274,0.9313725490196079,0.95,0.9405940594059405,100.0
4282,0.9191919191919192,0.91,0.9145728643216081,100.0
4286,0.9387755102040817,0.92,0.9292929292929293,100.0
4287b,0.941747572815534,0.97,0.9556650246305418,100.0
43708,0.9705882352941176,0.99,0.9801980198019802,100.0
43712,0.9897959183673469,0.97,0.9797979797979798,100.0
43713,1.0,1.0,1.0,100.0
43898,1.0,1.0,1.0,100.0
44126,0.9595959595959596,0.95,0.9547738693467336,100.0
44568,1.0,0.99,0.9949748743718593,100.0
4460b,0.875,0.91,0.892156862745098,100.0
44728,0.9166666666666666,0.88,0.8979591836734694,100.0
4477,0.9010989010989011,0.82,0.8586387434554974,100.0
44809,0.99,0.99,0.99,100.0
44861,0.9693877551020408,0.95,0.9595959595959594,100.0
4488,0.9693877551020408,0.95,0.9595959595959594,100.0
4490,0.9428571428571428,0.99,0.9658536585365853,100.0
4510,0.96875,0.93,0.9489795918367346,100.0
4519,0.8288288288288288,0.92,0.8720379146919431,100.0
45590,0.979381443298969,0.95,0.9644670050761421,100.0
456218,1.0,0.99,0.9949748743718593,100.0
45677,1.0,0.99,0.9949748743718593,100.0
4600,0.9702970297029703,0.98,0.9751243781094527,100.0
465007,0.8611111111111112,0.93,0.8942307692307692,100.0
4727,0.9339622641509434,0.99,0.9611650485436893,100.0
4733,0.941747572815534,0.97,0.9556650246305418,100.0
47397,0.9888888888888889,0.89,0.9368421052631579,100.0
47398,0.8899082568807339,0.97,0.9282296650717704,100.0
4740,0.99,0.99,0.99,100.0
4742,0.98989898989899,0.98,0.9849246231155778,100.0
47456,0.9797979797979798,0.97,0.9748743718592964,100.0
474589,0.8878504672897196,0.95,0.9178743961352657,100.0
47753,0.9705882352941176,0.99,0.9801980198019802,100.0
47755,1.0,1.0,1.0,100.0
47905,0.8314606741573034,0.74,0.783068783068783,100.0
48092,0.99,0.99,0.99,100.0
48171,0.9797979797979798,0.97,0.9748743718592964,100.0
48336,1.0,0.96,0.9795918367346939,100.0
4865b,0.8165137614678899,0.89,0.8516746411483254,100.0
4871,0.99,0.99,0.99,100.0
48723,1.0,1.0,1.0,100.0
48729b,0.9900990099009901,1.0,0.9950248756218906,100.0
48933,0.98989898989899,0.98,0.9849246231155778,100.0
48989,1.0,0.97,0.9847715736040609,100.0
496432,0.9583333333333334,0.92,0.9387755102040817,100.0
49668,0.9797979797979798,0.97,0.9748743718592964,100.0
50304,1.0,0.96,0.9795918367346939,100.0
50305,0.9702970297029703,0.98,0.9751243781094527,100.0
50373,0.9900990099009901,1.0,0.9950248756218906,100.0
50950,0.8981481481481481,0.97,0.9326923076923077,100.0
51739,0.9897959183673469,0.97,0.9797979797979798,100.0
52031,0.98989898989899,0.98,0.9849246231155778,100.0
523081,0.9705882352941176,0.99,0.9801980198019802,100.0
52501,0.9259259259259259,1.0,0.9615384615384615,100.0
53899,1.0,1.0,1.0,100.0
54383,0.9696969696969697,0.96,0.964824120603015,100.0
54384,0.98989898989899,0.98,0.9849246231155778,100.0
55013,0.935064935064935,0.72,0.8135593220338982,100.0
551028,0.9519230769230769,0.99,0.9705882352941176,100.0
56596,0.9405940594059405,0.95,0.9452736318407959,100.0
569005,0.9782608695652174,0.9,0.9375,100.0
57519,1.0,1.0,1.0,100.0
57520,1.0,0.99,0.9949748743718593,100.0
57585,1.0,1.0,1.0,100.0
57895,0.8796296296296297,0.95,0.9134615384615385,100.0
57909b,0.9428571428571428,0.99,0.9658536585365853,100.0
58090,0.9900990099009901,1.0,0.9950248756218906,100.0
59426,0.9797979797979798,0.97,0.9748743718592964,100.0
59443,0.9894736842105263,0.94,0.964102564102564,100.0
60032,0.9278350515463918,0.9,0.9137055837563451,100.0
6005,0.9607843137254902,0.98,0.9702970297029702,100.0
6014,1.0,0.99,0.9949748743718593,100.0
6020,1.0,1.0,1.0,100.0
60470b,0.9591836734693877,0.94,0.9494949494949495,100.0
60471,0.9789473684210527,0.93,0.9538461538461539,100.0
60474,0.98,0.98,0.98,100.0
60475b,0.6911764705882353,0.94,0.7966101694915254,100.0
60476,0.9438202247191011,0.84,0.888888888888889,100.0
60477,0.9484536082474226,0.92,0.9340101522842639,100.0
60478,0.98989898989899,0.98,0.9849246231155778,100.0
60479,0.7786885245901639,0.95,0.8558558558558559,100.0
60481,0.8775510204081632,0.86,0.8686868686868686,100.0
60483,0.9693877551020408,0.95,0.9595959595959594,100.0
